transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,device_id,ip_address,merchant_id,channel,customer_age,customer_occupation,transaction_duration,login_attempts,account_balance,previous_transaction_date,transaction_hour,day_of_week,anomaly_score,fraud_flag,llm_explanation
TX000046,AC00401,435.27,10-04-2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,11-04-2024 08:11,17,0,0.100392652,0,
TX000048,AC00439,510.24,10-09-2023 16:29,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,11-04-2024 08:11,16,6,0.135393237,0,
TX000053,AC00115,85.43,06-07-2023 16:45,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,11-04-2024 08:06,16,3,0.107211942,0,
TX000054,AC00055,169.5,09-07-2023 16:51,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,11-04-2024 08:08,16,6,0.171010113,0,
TX000056,AC00374,316.95,08-04-2023 17:53,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,11-04-2024 08:09,17,5,0.1761626,0,
TX000058,AC00456,292.56,03-03-2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,11-04-2024 08:07,17,4,0.163457591,0,
TX000059,AC00143,386.52,06-09-2023 16:18,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,11-04-2024 08:07,16,2,0.159570368,0,
TX000060,AC00427,112.07,10-02-2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,11-04-2024 08:11,16,4,0.168720265,0,
TX000061,AC00438,568.52,10-06-2023 18:44,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,11-04-2024 08:06,18,5,0.123492948,0,
TX000063,AC00425,349.64,11-07-2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,11-04-2024 08:08,16,1,0.133096925,0,
TX000069,AC00461,117.28,02-09-2023 16:34,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,11-04-2024 08:07,16,5,0.151093209,0,
TX000073,AC00282,24.77,07-04-2023 18:20,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,11-04-2024 08:12,18,4,0.114986159,0,
TX000075,AC00265,1212.51,10-04-2023 16:36,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,11-04-2024 08:06,16,0,0.017636665,0,
TX000077,AC00007,162.63,06-12-2023 17:53,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,11-04-2024 08:08,17,2,0.163613087,0,
TX000084,AC00220,259.91,11-06-2023 16:34,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,11-04-2024 08:09,16,6,0.168435456,0,
TX000085,AC00140,154.71,07-03-2023 16:40,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,11-04-2024 08:09,16,1,0.163930733,0,
TX000092,AC00310,223.85,10-02-2023 16:36,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,11-04-2024 08:08,16,4,0.039860693,0,
TX000095,AC00425,644.17,03-02-2023 16:05,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,11-04-2024 08:08,16,4,0.165833902,0,
TX000099,AC00453,147.62,09-01-2023 17:26,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,11-04-2024 08:07,17,0,0.116920553,0,
TX000100,AC00178,115.02,09-11-2023 16:19,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,11-04-2024 08:08,16,3,0.167948704,0,
TX000102,AC00018,98.54,08-11-2023 16:18,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,11-04-2024 08:10,16,2,0.115334358,0,
TX000105,AC00170,129.94,01-02-2023 16:36,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,11-04-2024 08:06,16,2,0.130629416,0,
TX000107,AC00013,114.98,11-01-2023 16:52,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,11-04-2024 08:09,16,2,0.185765367,0,
TX000108,AC00397,756.59,03-06-2023 16:47,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,11-04-2024 08:11,16,5,0.107226767,0,
TX000114,AC00121,213.76,03-01-2023 17:52,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,11-04-2024 08:09,17,1,0.066334698,0,
TX000115,AC00336,327.86,02-10-2023 16:52,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,11-04-2024 08:06,16,0,0.128591262,0,
TX000117,AC00282,300.08,10-09-2023 17:02,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,11-04-2024 08:12,17,6,0.086283565,0,
TX000118,AC00498,56.98,01-01-2024 16:34,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,11-04-2024 08:07,16,0,0.085681699,0,
TX000119,AC00085,407.65,07-07-2023 16:11,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,11-04-2024 08:06,16,4,0.160054424,0,
TX000126,AC00284,214.54,08-04-2023 17:46,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,11-04-2024 08:11,17,5,0.079461792,0,
TX000127,AC00208,598.81,09-04-2023 16:48,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,11-04-2024 08:10,16,6,0.14447824,0,
TX000128,AC00176,841.28,08-09-2023 17:34,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,11-04-2024 08:09,17,4,0.132018989,0,
TX000129,AC00053,38.15,09-07-2023 16:07,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,11-04-2024 08:07,16,6,0.148380679,0,
TX000130,AC00320,1036.66,07-11-2023 16:39,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,11-04-2024 08:09,16,1,0.097526866,0,
TX000131,AC00382,124.72,07-03-2023 17:14,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,11-04-2024 08:07,17,1,0.161204996,0,
TX000140,AC00385,234.57,09-01-2023 16:09,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,263.98,11-04-2024 08:08,16,0,0.121064899,0,
TX000143,AC00163,227.14,07-03-2023 17:42,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18,Student,294,1,341.94,11-04-2024 08:11,17,1,0.067207737,0,
TX000150,AC00279,265.76,02-06-2023 17:48,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,54,Retired,92,1,4446.17,11-04-2024 08:12,17,4,0.185342485,0,
TX000153,AC00303,267.9,10-09-2023 16:52,Debit,San Antonio,D000605,216.32.4.105,M078,Online,20,Student,160,1,596.16,11-04-2024 08:08,16,6,0.146996518,0,
TX000154,AC00442,496.03,11-03-2023 16:45,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,61,Doctor,265,1,12904.66,11-04-2024 08:09,16,5,0.045480287,0,
TX000156,AC00174,83.02,09-04-2023 17:59,Credit,Seattle,D000226,34.92.221.183,M058,Online,36,Engineer,171,1,9009.56,11-04-2024 08:11,17,6,0.139298761,0,
TX000161,AC00380,139.53,10-09-2023 17:20,Credit,Louisville,D000491,167.104.180.235,M002,Online,53,Doctor,177,1,10098.86,11-04-2024 08:07,17,6,0.128242537,0,
TX000162,AC00227,307.57,01-09-2023 16:12,Debit,Detroit,D000076,128.16.32.183,M049,Branch,33,Doctor,285,1,5307.74,11-04-2024 08:06,16,4,0.11617464,0,
TX000168,AC00332,506.28,05-02-2023 17:03,Credit,Chicago,D000606,110.150.1.201,M010,Online,53,Retired,162,2,1309.95,11-04-2024 08:09,17,6,0.063783302,0,
TX000169,AC00202,304.35,12-04-2023 17:07,Debit,Houston,D000281,183.39.94.209,M007,Branch,31,Engineer,36,1,4057.1,11-04-2024 08:08,17,2,0.163668227,0,
TX000177,AC00363,1362.55,02-10-2023 18:07,Debit,El Paso,D000213,93.52.44.101,M001,ATM,29,Engineer,106,1,2429.68,11-04-2024 08:11,18,0,0.013426672,0,
TX000184,AC00077,110.93,04-07-2023 16:38,Credit,Virginia Beach,D000142,101.223.82.253,M036,Branch,19,Student,201,1,1952.35,11-04-2024 08:10,16,1,0.12169475,0,
TX000185,AC00440,201.69,01-03-2023 16:46,Debit,Las Vegas,D000626,193.108.17.115,M019,ATM,59,Doctor,299,1,7328.52,11-04-2024 08:10,16,2,0.120582762,0,
TX000187,AC00099,1041.88,09-06-2023 16:44,Debit,Jacksonville,D000208,32.240.176.64,M032,Online,78,Retired,57,1,5726.2,11-04-2024 08:06,16,4,0.104585622,0,
TX000188,AC00258,630.36,03-02-2023 16:11,Debit,Mesa,D000091,200.22.195.243,M084,ATM,62,Retired,52,1,1363.65,11-04-2024 08:12,16,4,0.149573579,0,
TX000190,AC00113,215.9,01-04-2023 16:02,Debit,Los Angeles,D000414,147.119.62.178,M083,ATM,38,Doctor,235,1,7873.28,11-04-2024 08:10,16,5,0.137899559,0,
TX000191,AC00396,1422.55,07-10-2023 17:49,Debit,Washington,D000569,188.124.181.12,M072,Branch,79,Retired,165,1,5674.32,11-04-2024 08:06,17,5,0.045200892,0,
TX000193,AC00265,444.89,09-11-2023 16:27,Credit,Las Vegas,D000173,42.61.10.112,M060,Branch,43,Doctor,101,1,10328.23,11-04-2024 08:11,16,3,0.162053273,0,
TX000195,AC00005,488.54,07-03-2023 17:47,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,11-04-2024 08:07,17,1,0.147190492,0,
TX000201,AC00113,307.41,06-12-2023 17:32,Debit,Los Angeles,D000014,1.7.29.72,M007,ATM,19,Student,14,1,1057,11-04-2024 08:09,17,2,0.116350616,0,
TX000207,AC00181,800.55,05-04-2023 16:21,Debit,Oklahoma City,D000657,8.244.162.185,M062,ATM,31,Engineer,108,1,9660.22,11-04-2024 08:06,16,2,0.113304002,0,
TX000208,AC00370,485.54,02-06-2023 17:46,Debit,Houston,D000589,140.212.253.222,M061,ATM,46,Engineer,143,1,6371.51,11-04-2024 08:11,17,4,0.178375553,0,
TX000210,AC00339,321.79,08-07-2023 17:30,Credit,Raleigh,D000537,86.103.2.29,M056,ATM,63,Retired,61,1,5959.2,11-04-2024 08:10,17,5,0.176743443,0,
TX000213,AC00301,694.2,12-07-2023 16:20,Debit,Milwaukee,D000007,27.143.109.203,M035,ATM,61,Retired,72,1,1389.37,11-04-2024 08:07,16,2,0.14055204,0,
TX000215,AC00130,386.81,03-03-2023 18:02,Credit,Detroit,D000248,34.169.232.37,M039,Online,57,Doctor,149,1,7175.29,11-04-2024 08:10,18,4,0.122980885,0,
TX000219,AC00070,890.24,07-07-2023 18:03,Credit,Las Vegas,D000223,28.149.72.129,M029,Online,33,Engineer,161,1,5140.93,11-04-2024 08:07,18,4,0.086556605,0,
TX000220,AC00417,361.27,01-06-2023 17:01,Debit,Omaha,D000676,78.100.105.143,M088,ATM,63,Doctor,180,1,7945.57,11-04-2024 08:10,17,3,0.154857906,0,
TX000223,AC00004,547.87,07-10-2023 17:15,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,11-04-2024 08:10,17,5,0.173016424,0,
TX000228,AC00115,581.65,01-09-2023 16:54,Debit,Boston,D000666,80.92.209.207,M009,ATM,22,Student,176,1,480.19,11-04-2024 08:09,16,4,0.144803423,0,
TX000229,AC00055,52.01,11-07-2023 16:46,Debit,Mesa,D000652,178.34.103.183,M019,ATM,48,Doctor,85,1,1120.88,11-04-2024 08:11,16,1,0.154814061,0,
TX000231,AC00401,523.74,11-02-2023 16:36,Debit,Oklahoma City,D000551,216.151.64.40,M099,ATM,43,Doctor,159,1,13498.55,11-04-2024 08:06,16,5,0.112495107,0,
TX000238,AC00225,368.91,03-10-2023 17:49,Debit,Virginia Beach,D000221,218.238.171.184,M082,Branch,54,Doctor,14,1,829.71,11-04-2024 08:10,17,1,0.102766638,0,
TX000240,AC00026,66.5,05-04-2023 16:44,Credit,Louisville,D000419,13.88.251.53,M098,Online,32,Engineer,144,1,6820.23,11-04-2024 08:08,16,2,0.175101312,0,
TX000241,AC00076,177.08,01-06-2023 17:16,Debit,Las Vegas,D000450,176.96.83.253,M014,Online,35,Doctor,85,1,13475.14,11-04-2024 08:12,17,3,0.127045632,0,
TX000242,AC00215,588.54,02-06-2023 17:57,Debit,Portland,D000609,211.97.88.141,M031,Branch,32,Engineer,130,1,714.45,11-04-2024 08:10,17,4,0.155486152,0,
TX000245,AC00004,40.66,01-01-2024 16:08,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,11-04-2024 08:11,16,0,0.123849438,0,
TX000247,AC00415,34.07,11-06-2023 17:22,Debit,Philadelphia,D000158,29.168.185.63,M080,Branch,22,Student,81,1,8709.77,11-04-2024 08:07,17,6,0.107751823,0,
TX000249,AC00253,842.01,09-12-2023 16:43,Credit,Virginia Beach,D000209,62.152.134.92,M015,Online,53,Doctor,185,1,509.45,11-04-2024 08:08,16,5,0.111459475,0,
TX000250,AC00126,73.55,01-09-2023 16:09,Debit,Atlanta,D000210,196.121.240.10,M086,ATM,51,Engineer,158,1,2812.06,11-04-2024 08:11,16,4,0.185535023,0,
TX000251,AC00304,760.53,09-04-2023 18:13,Debit,Phoenix,D000651,177.116.108.246,M005,Online,57,Engineer,118,1,6179.91,11-04-2024 08:09,18,6,0.08753833,0,
TX000256,AC00258,237.99,05-08-2023 16:45,Credit,Kansas City,D000563,168.55.35.243,M043,Branch,39,Doctor,86,1,8510.09,11-04-2024 08:11,16,5,0.177883935,0,
TX000257,AC00073,186.6,07-04-2023 16:27,Debit,Washington,D000149,52.1.78.30,M037,Online,58,Doctor,13,1,1508.72,11-04-2024 08:06,16,4,0.154443762,0,
TX000259,AC00363,434.58,09-06-2023 16:28,Debit,Memphis,D000136,80.92.209.207,M091,ATM,59,Doctor,215,1,12648.32,11-04-2024 08:08,16,4,0.088226573,0,
TX000263,AC00194,47.38,02-08-2023 18:18,Credit,Seattle,D000388,150.231.20.169,M061,Online,25,Student,61,1,459.37,11-04-2024 08:07,18,2,0.098463769,0,
TX000266,AC00338,12.82,04-05-2023 18:37,Debit,Fort Worth,D000482,152.234.65.155,M055,ATM,44,Engineer,156,1,9045.19,11-04-2024 08:08,18,3,0.110783252,0,
TX000268,AC00424,535.91,07-07-2023 16:38,Debit,Las Vegas,D000583,104.80.232.55,M097,Online,43,Engineer,22,1,9642.12,11-04-2024 08:10,16,4,0.126409206,0,
TX000269,AC00147,270.72,07-03-2023 18:01,Credit,Washington,D000508,26.240.219.199,M094,Online,26,Engineer,53,1,6263.96,11-04-2024 08:11,18,1,0.094645928,0,
TX000270,AC00171,97.98,02-06-2023 16:09,Debit,Denver,D000470,211.42.9.0,M033,Branch,72,Retired,18,1,7460.33,11-04-2024 08:08,16,4,0.136481063,0,
TX000272,AC00263,251.18,06-01-2023 16:51,Debit,San Jose,D000056,134.222.122.238,M058,ATM,42,Engineer,246,1,8303.9,11-04-2024 08:07,16,4,0.129757618,0,
TX000278,AC00220,345.22,09-05-2023 16:55,Debit,Fresno,D000217,164.75.163.220,M025,Branch,69,Retired,253,1,4046.58,11-04-2024 08:07,16,1,0.110661039,0,
TX000282,AC00362,45.77,02-09-2023 17:50,Debit,Philadelphia,D000484,85.239.236.80,M066,Online,25,Student,109,1,5978.12,11-04-2024 08:08,17,5,0.164216875,0,
TX000283,AC00026,329.69,01-09-2023 16:54,Credit,San Antonio,D000278,146.69.70.214,M088,Online,26,Student,66,1,1671.66,11-04-2024 08:09,16,4,0.187998711,0,
TX000284,AC00387,362.04,07-10-2023 16:37,Credit,Philadelphia,D000145,52.1.78.30,M059,Branch,58,Doctor,198,2,8421.88,11-04-2024 08:08,16,5,0.075687077,0,
TX000285,AC00451,11.92,10-09-2023 17:48,Debit,San Diego,D000678,192.95.36.246,M063,Branch,53,Doctor,52,1,14611.9,11-04-2024 08:11,17,6,0.076921627,0,
TX000288,AC00159,151.19,05-05-2023 16:04,Credit,New York,D000658,217.233.219.196,M061,Branch,37,Doctor,96,1,11903.82,11-04-2024 08:11,16,4,0.138791068,0,
TX000289,AC00177,242.62,07-10-2023 16:40,Credit,San Francisco,D000332,138.87.180.254,M094,Online,22,Student,234,1,483.02,11-04-2024 08:07,16,5,0.131473084,0,
TX000293,AC00189,443.79,10-09-2023 18:28,Debit,Las Vegas,D000407,198.39.35.23,M099,ATM,53,Retired,87,1,3133.85,11-04-2024 08:11,18,6,0.102104161,0,
TX000294,AC00495,365.14,12-01-2023 18:46,Debit,Dallas,D000640,173.232.121.213,M002,Online,68,Retired,57,1,5894.09,11-04-2024 08:07,18,3,0.102270687,0,
TX000295,AC00148,757.41,05-05-2023 16:31,Debit,Los Angeles,D000383,125.89.163.224,M048,ATM,22,Student,37,1,9532.42,11-04-2024 08:09,16,4,0.098171267,0,
TX000297,AC00381,475.36,10-02-2023 16:03,Debit,Phoenix,D000540,132.127.5.187,M018,ATM,34,Engineer,105,1,2000.6,11-04-2024 08:06,16,4,0.183503336,0,
TX000299,AC00495,689.54,03-06-2023 16:46,Debit,Oklahoma City,D000395,89.6.100.149,M038,Branch,27,Student,93,1,1633.76,11-04-2024 08:08,16,5,0.166030096,0,
TX000305,AC00306,361.46,04-07-2023 17:23,Debit,Nashville,D000169,171.150.178.172,M093,Online,21,Student,83,1,4737.84,11-04-2024 08:10,17,1,0.134149737,0,
TX000308,AC00389,131.93,09-11-2023 17:31,Credit,Fort Worth,D000245,216.32.4.105,M049,Branch,31,Engineer,13,1,4547.06,11-04-2024 08:06,17,3,0.154413183,0,
TX000311,AC00386,49.99,02-09-2023 17:53,Debit,Omaha,D000668,155.140.33.42,M062,ATM,62,Retired,139,1,2299.64,11-04-2024 08:08,17,5,0.173853431,0,
TX000314,AC00445,485.54,12-08-2023 16:47,Debit,Louisville,D000343,121.67.144.20,M080,Online,19,Student,148,1,1533.32,11-04-2024 08:11,16,5,0.164048998,0,
TX000315,AC00371,321.15,02-10-2023 17:06,Debit,Los Angeles,D000151,200.164.13.160,M037,Branch,46,Doctor,179,1,7005.05,11-04-2024 08:06,17,0,0.120415708,0,
TX000317,AC00200,12.23,10-12-2023 16:02,Debit,Houston,D000177,23.92.205.75,M065,ATM,42,Engineer,139,1,7844.88,11-04-2024 08:07,16,6,0.145655415,0,
TX000320,AC00444,29.34,03-09-2023 17:37,Debit,Louisville,D000029,40.198.240.246,M087,Online,65,Retired,30,1,3944.82,11-04-2024 08:11,17,6,0.123014618,0,
TX000322,AC00300,179.43,08-11-2023 18:20,Debit,Oklahoma City,D000421,189.198.67.252,M004,ATM,58,Retired,244,1,2626.63,11-04-2024 08:10,18,2,0.08282044,0,
TX000324,AC00248,138.12,04-11-2023 17:18,Credit,Los Angeles,D000182,45.182.28.148,M067,Branch,53,Doctor,281,1,1649.69,11-04-2024 08:11,17,5,0.120781076,0,
TX000329,AC00264,354.4,11-06-2023 17:23,Debit,Chicago,D000416,87.234.36.48,M046,ATM,74,Retired,128,1,7358.65,11-04-2024 08:10,17,6,0.134955395,0,
TX000333,AC00418,288.17,09-08-2023 16:48,Debit,Virginia Beach,D000399,143.212.47.226,M012,Online,37,Engineer,50,1,3653.11,11-04-2024 08:10,16,2,0.172588225,0,
TX000334,AC00187,118.77,10-02-2023 17:44,Debit,Atlanta,D000310,104.80.232.55,M066,Branch,55,Engineer,123,1,2104.82,11-04-2024 08:10,17,4,0.181704523,0,
TX000338,AC00439,138.95,06-02-2023 16:48,Debit,Washington,D000675,104.155.121.252,M090,Online,71,Retired,30,1,6752.92,11-04-2024 08:08,16,0,0.112710062,0,
TX000339,AC00055,33.89,11-10-2023 16:10,Debit,Nashville,D000588,14.105.144.122,M079,Branch,26,Student,177,1,1444.75,11-04-2024 08:11,16,2,0.158878596,0,
TX000341,AC00107,1830,03-01-2023 16:31,Debit,San Antonio,D000436,62.27.235.199,M082,Online,55,Engineer,238,1,2235.7,11-04-2024 08:11,16,1,0.00646425,0,
TX000343,AC00493,17.07,05-01-2023 17:17,Debit,Los Angeles,D000597,47.82.77.181,M023,Branch,27,Engineer,44,1,2798.15,11-04-2024 08:11,17,3,0.15953357,0,
TX000347,AC00375,147.4,06-09-2023 16:10,Debit,San Jose,D000283,92.214.76.157,M067,Branch,42,Engineer,259,1,6797.71,11-04-2024 08:07,16,2,0.141890025,0,
TX000349,AC00376,308.42,05-02-2023 16:14,Debit,Nashville,D000276,76.0.164.168,M077,Branch,75,Retired,39,1,5427.81,11-04-2024 08:06,16,6,0.131873321,0,
TX000351,AC00040,294.15,02-02-2023 16:19,Debit,Fresno,D000504,112.86.148.212,M020,Online,38,Engineer,136,1,6362.16,11-04-2024 08:07,16,3,0.186679126,0,
TX000353,AC00365,139.45,07-10-2023 16:43,Debit,Boston,D000139,77.7.223.184,M004,Online,27,Student,31,1,1305.76,11-04-2024 08:10,16,5,0.173122298,0,
TX000355,AC00349,131.43,02-01-2023 18:47,Debit,Charlotte,D000391,77.7.223.184,M053,Online,43,Doctor,65,1,1337.5,11-04-2024 08:12,18,0,0.083606822,0,
TX000356,AC00374,516.72,10-09-2023 18:43,Debit,Mesa,D000489,197.187.216.106,M025,ATM,42,Engineer,128,1,2015.69,11-04-2024 08:11,18,6,0.099118021,0,
TX000357,AC00261,121.82,02-07-2023 17:20,Debit,Colorado Springs,D000095,186.54.68.246,M094,Online,69,Doctor,123,3,8354.54,11-04-2024 08:08,17,6,0.026834046,0,
TX000359,AC00331,166.13,09-06-2023 17:01,Debit,Omaha,D000473,29.168.185.63,M013,ATM,68,Doctor,227,1,11822.53,11-04-2024 08:12,17,4,0.089593214,0,
TX000360,AC00165,626.9,10-10-2023 16:42,Debit,Chicago,D000686,59.12.96.11,M017,ATM,23,Student,146,1,587.11,11-04-2024 08:11,16,1,0.119627158,0,
TX000364,AC00478,525.28,04-03-2023 16:37,Debit,Colorado Springs,D000564,70.130.169.235,M011,ATM,69,Retired,134,1,4693.6,11-04-2024 08:09,16,5,0.164285728,0,
TX000365,AC00272,110.17,09-07-2023 16:08,Debit,Raleigh,D000046,156.235.3.171,M054,ATM,30,Engineer,137,1,464.2,11-04-2024 08:12,16,6,0.162541492,0,
TX000366,AC00092,632.69,09-12-2023 16:28,Debit,Denver,D000455,211.97.88.141,M047,ATM,80,Retired,76,1,4363.74,11-04-2024 08:09,16,5,0.118852314,0,
TX000367,AC00332,124.35,12-08-2023 16:39,Debit,Oklahoma City,D000082,49.20.211.229,M015,ATM,72,Retired,90,1,3319.76,11-04-2024 08:11,16,5,0.16296527,0,
TX000369,AC00327,283.81,03-09-2023 16:31,Debit,San Diego,D000364,64.57.44.102,M046,Branch,28,Student,29,1,1519.35,11-04-2024 08:10,16,6,0.155853416,0,
TX000375,AC00014,643.22,05-03-2023 17:04,Debit,Atlanta,D000248,175.166.115.182,M073,ATM,64,Doctor,93,1,1035.86,11-04-2024 08:07,17,6,0.126912801,0,
TX000377,AC00131,208.07,07-10-2023 16:51,Debit,Oklahoma City,D000084,157.164.245.130,M100,Online,32,Doctor,36,1,8478.9,11-04-2024 08:11,16,5,0.157952674,0,
TX000380,AC00488,30.23,11-06-2023 17:53,Debit,Austin,D000406,134.247.5.188,M049,ATM,44,Doctor,99,1,481.13,11-04-2024 08:12,17,6,0.13016765,0,
TX000382,AC00021,180.24,07-03-2023 17:03,Debit,Phoenix,D000106,169.67.220.37,M098,Branch,58,Engineer,144,1,8431.23,11-04-2024 08:09,17,1,0.156553869,0,
